t x y vx vy ax ay theta_deg
0 1 0 -0 2 -4 -0 0
0.01 0.9998 0.0199987 -0.0399973 1.9996 -3.9992 -0.0799947 1.14592
0.02 0.9992 0.0399893 -0.0799787 1.9984 -3.9968 -0.159957 2.29183
0.03 0.998201 0.059964 -0.119928 1.9964 -3.9928 -0.239856 3.43775
0.04 0.996802 0.0799147 -0.159829 1.9936 -3.98721 -0.319659 4.58366
0.05 0.995004 0.0998334 -0.199667 1.99001 -3.98002 -0.399334 5.72958
0.06 0.992809 0.119712 -0.239424 1.98562 -3.97123 -0.478849 6.87549
0.07 0.990216 0.139543 -0.279086 1.98043 -3.96086 -0.558172 8.02141
0.08 0.987227 0.159318 -0.318636 1.97445 -3.94891 -0.637273 9.16732
0.09 0.983844 0.17903 -0.358059 1.96769 -3.93537 -0.716118 10.3132
0.1 0.980067 0.198669 -0.397339 1.96013 -3.92027 -0.794677 11.4592
0.11 0.975897 0.21823 -0.436459 1.95179 -3.90359 -0.872918 12.6051
0.12 0.971338 0.237703 -0.475405 1.94268 -3.88535 -0.950811 13.751
0.13 0.96639 0.257081 -0.514161 1.93278 -3.86556 -1.02832 14.8969
0.14 0.961055 0.276356 -0.552711 1.92211 -3.84422 -1.10542 16.0428
0.15 0.955336 0.29552 -0.59104 1.91067 -3.82135 -1.18208 17.1887
0.16 0.949235 0.314567 -0.629133 1.89847 -3.79694 -1.25827 18.3346
0.17 0.942755 0.333487 -0.666974 1.88551 -3.77102 -1.33395 19.4806
0.18 0.935897 0.352274 -0.704548 1.87179 -3.74359 -1.4091 20.6265
0.19 0.928665 0.37092 -0.741841 1.85733 -3.71466 -1.48368 21.7724
0.2 0.921061 0.389418 -0.778837 1.84212 -3.68424 -1.55767 22.9183
0.21 0.913089 0.40776 -0.815521 1.82618 -3.65236 -1.63104 24.0642
0.22 0.904752 0.425939 -0.851879 1.8095 -3.61901 -1.70376 25.2101
0.23 0.896052 0.443948 -0.887896 1.7921 -3.58421 -1.77579 26.3561
0.24 0.886995 0.461779 -0.923558 1.77399 -3.54798 -1.84712 27.502
0.25 0.877583 0.479426 -0.958851 1.75517 -3.51033 -1.9177 28.6479
0.26 0.867819 0.49688 -0.99376 1.73564 -3.47128 -1.98752 29.7938
0.27 0.857709 0.514136 -1.02827 1.71542 -3.43083 -2.05654 30.9397
0.28 0.847255 0.531186 -1.06237 1.69451 -3.38902 -2.12474 32.0856
