t x y vx vy ax ay theta_deg
0 0.0926597 -0.285332 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.0925132 -0.285379 -0.0292862 -0.00949389 -2.9264 -0.945349 17.9615
0.02 0.0920742 -0.285521 -0.0585058 -0.0188668 -2.91639 -0.927234 17.8733
0.03 0.0913435 -0.285756 -0.0875914 -0.0279991 -2.8996 -0.897281 17.7268
0.04 0.090323 -0.28608 -0.116475 -0.0367741 -2.87588 -0.855841 17.5223
0.05 0.0890149 -0.28649 -0.145085 -0.0450793 -2.84503 -0.803408 17.2605
0.06 0.0874224 -0.28698 -0.173351 -0.0528077 -2.8068 -0.740605 16.9423
0.07 0.0855493 -0.287544 -0.201196 -0.0598593 -2.76093 -0.668187 16.5687
0.08 0.0834002 -0.288174 -0.228543 -0.0661423 -2.70711 -0.587031 16.1409
0.09 0.0809804 -0.288864 -0.25531 -0.0715741 -2.64505 -0.498127 15.6604
0.1 0.0782962 -0.289603 -0.281415 -0.0760826 -2.57444 -0.402571 15.1287
0.11 0.0753546 -0.290382 -0.30677 -0.0796073 -2.49502 -0.301554 14.5475
0.12 0.0721636 -0.291191 -0.331285 -0.0820997 -2.40655 -0.196349 13.9187
0.13 0.068732 -0.29202 -0.35487 -0.0835248 -2.30886 -0.0882937 13.2445
0.14 0.0650696 -0.292858 -0.377431 -0.0838608 -2.20184 0.0212188 12.5269
0.15 0.0611871 -0.293694 -0.398876 -0.0831003 -2.08546 0.130762 11.7684
0.16 0.0570961 -0.294517 -0.41911 -0.0812502 -1.95979 0.238894 10.9715
0.17 0.0528092 -0.295315 -0.438041 -0.0783319 -1.82499 0.344173 10.1387
0.18 0.0483399 -0.29608 -0.45558 -0.074381 -1.68134 0.445183 9.27267
0.19 0.0437026 -0.2968 -0.47164 -0.0694471 -1.52924 0.540551 8.37638
0.2 0.0389124 -0.297466 -0.486138 -0.0635932 -1.36918 0.628968 7.45271
0.21 0.0339853 -0.298069 -0.498999 -0.056895 -1.20179 0.709211 6.50467
0.22 0.0289381 -0.298601 -0.510152 -0.0494399 -1.0278 0.780161 5.53537
0.23 0.0237881 -0.299055 -0.519536 -0.0413261 -0.848032 0.84082 4.54797
0.24 0.0185534 -0.299426 -0.527096 -0.0326607 -0.663417 0.890333 3.54571
0.25 0.0132524 -0.299707 -0.532791 -0.0235589 -0.474953 0.927996 2.53185
0.26 0.00790395 -0.299896 -0.536586 -0.0141421 -0.283703 0.953272 1.50972
0.27 0.00252711 -0.299989 -0.538459 -0.00453599 -0.0907765 0.9658 0.482649
0.28 -0.00285879 -0.299986 -0.5384 0.00513082 0.102688 0.965401 -0.545998
0.29 -0.00823444 -0.299887 -0.536408 0.0147289 0.295544 0.952081 -1.57286
0.3 -0.0135805 -0.299692 -0.532495 0.02413 0.486654 0.926029 -2.59458
0.31 -0.018878 -0.299405 -0.526684 0.0332083 0.674912 0.887619 -3.60782
