t x y vx vy ax ay theta_deg
0 1.5e+11 0 -0 18000 -0.00216 -0 0
86400 1.49992e+11 1.55517e+09 -186.621 17999 -0.00215988 -2.23945e-05 0.594043
172800 1.49968e+11 3.11018e+09 -373.221 17996.1 -0.00215954 -4.47866e-05 1.18809
259200 1.49927e+11 4.66485e+09 -559.782 17991.3 -0.00215896 -6.71738e-05 1.78213
345600 1.49871e+11 6.21902e+09 -746.282 17984.5 -0.00215814 -8.95538e-05 2.37617
432000 1.49798e+11 7.77252e+09 -932.702 17975.8 -0.0021571 -0.000111924 2.97021
518400 1.4971e+11 9.32518e+09 -1119.02 17965.2 -0.00215582 -0.000134283 3.56426
604800 1.49605e+11 1.08768e+10 -1305.22 17952.6 -0.00215431 -0.000156627 4.1583
691200 1.49484e+11 1.24273e+10 -1491.28 17938.1 -0.00215257 -0.000178954 4.75234
777600 1.49347e+11 1.39765e+10 -1677.18 17921.7 -0.0021506 -0.000201262 5.34638
864000 1.49195e+11 1.55242e+10 -1862.9 17903.3 -0.0021484 -0.000223548 5.94043
950400 1.49026e+11 1.70701e+10 -2048.42 17883.1 -0.00214597 -0.00024581 6.53447
1.0368e+06 1.48841e+11 1.86143e+10 -2233.71 17860.9 -0.0021433 -0.000268046 7.12851
1.1232e+06 1.4864e+11 2.01564e+10 -2418.77 17836.7 -0.00214041 -0.000290253 7.72255
1.2096e+06 1.48423e+11 2.16964e+10 -2603.57 17810.7 -0.00213729 -0.000312429 8.3166
1.296e+06 1.4819e+11 2.32341e+10 -2788.09 17782.8 -0.00213393 -0.000334571 8.91064
1.3824e+06 1.47941e+11 2.47692e+10 -2972.31 17752.9 -0.00213035 -0.000356677 9.50468
1.4688e+06 1.47676e+11 2.63017e+10 -3156.21 17721.1 -0.00212654 -0.000378745 10.0987
1.5552e+06 1.47395e+11 2.78314e+10 -3339.77 17687.5 -0.00212249 -0.000400772 10.6928
1.6416e+06 1.47099e+11 2.93581e+10 -3522.97 17651.9 -0.00211823 -0.000422756 11.2868
1.728e+06 1.46787e+11 3.08816e+10 -3705.79 17614.4 -0.00211373 -0.000444695 11.8809
1.8144e+06 1.46459e+11 3.24018e+10 -3888.21 17575 -0.002109 -0.000466586 12.4749
1.9008e+06 1.46115e+11 3.39185e+10 -4070.22 17533.8 -0.00210405 -0.000488426 13.0689
1.9872e+06 1.45755e+11 3.54316e+10 -4251.79 17490.6 -0.00209888 -0.000510214 13.663
2.0736e+06 1.4538e+11 3.69408e+10 -4432.9 17445.6 -0.00209347 -0.000531948 14.257
2.16e+06 1.44989e+11 3.84461e+10 -4613.53 17398.7 -0.00208785 -0.000553624 14.8511
2.2464e+06 1.44583e+11 3.99473e+10 -4793.67 17349.9 -0.00208199 -0.000575241 15.4451
2.3328e+06 1.44161e+11 4.14441e+10 -4973.29 17299.3 -0.00207592 -0.000596795 16.0392
2.4192e+06 1.43724e+11 4.29365e+10 -5152.38 17246.8 -0.00206962 -0.000618286 16.6332
2.5056e+06 1.43271e+11 4.44243e+10 -5330.92 17192.5 -0.0020631 -0.00063971 17.2272
2.592e+06 1.42802e+11 4.59073e+10 -5508.88 17136.3 -0.00205635 -0.000661066 17.8213
2.6784e+06 1.42319e+11 4.73854e+10 -5686.25 17078.2 -0.00204939 -0.00068235 18.4153
2.7648e+06 1.4182e+11 4.88584e+10 -5863.01 17018.4 -0.00204221 -0.000703561 19.0094
2.8512e+06 1.41306e+11 5.03261e+10 -6039.14 16956.7 -0.0020348 -0.000724696 19.6034
2.9376e+06 1.40776e+11 5.17885e+10 -6214.62 16893.2 -0.00202718 -0.000745754 20.1974
3.024e+06 1.40232e+11 5.32452e+10 -6389.43 16827.8 -0.00201934 -0.000766731 20.7915
3.1104e+06 1.39672e+11 5.46963e+10 -6563.55 16760.7 -0.00201128 -0.000787626 21.3855
3.1968e+06 1.39098e+11 5.61414e+10 -6736.97 16691.7 -0.00200301 -0.000808436 21.9796
3.2832e+06 1.38508e+11 5.75805e+10 -6909.66 16621 -0.00199452 -0.00082916 22.5736
3.3696e+06 1.37904e+11 5.90135e+10 -7081.62 16548.4 -0.00198581 -0.000849794 23.1677
3.456e+06 1.37284e+11 6.04401e+10 -7252.81 16474.1 -0.0019769 -0.000870337 23.7617
3.5424e+06 1.3665e+11 6.18601e+10 -7423.22 16398 -0.00196777 -0.000890786 24.3557
3.6288e+06 1.36002e+11 6.32736e+10 -7592.83 16320.2 -0.00195842 -0.00091114 24.9498
3.7152e+06 1.35338e+11 6.46802e+10 -7761.63 16240.6 -0.00194887 -0.000931395 25.5438
3.8016e+06 1.3466e+11 6.60799e+10 -7929.59 16159.3 -0.00193911 -0.000951551 26.1379
3.888e+06 1.33968e+11 6.74725e+10 -8096.7 16076.2 -0.00192914 -0.000971604 26.7319
