t x y vx vy ax ay theta_deg
0 60 0 -0 0.21 -0.000735 -0 0
10 59.9633 2.09957 -0.0073485 0.209871 -0.00073455 -2.57197e-05 2.00535
20 59.8531 4.19657 -0.014688 0.209486 -0.0007332 -5.1408e-05 4.0107
30 59.6696 6.28843 -0.0220095 0.208843 -0.000730952 -7.70333e-05 6.01606
40 59.413 8.37259 -0.0293041 0.207945 -0.000727809 -0.000102564 8.02141
50 59.0836 10.4465 -0.0365627 0.206793 -0.000723774 -0.000127969 10.0268
60 58.6819 12.5076 -0.0437766 0.205386 -0.000718853 -0.000153218 12.0321
70 58.2082 14.5534 -0.0509368 0.203729 -0.000713051 -0.000178279 14.0375
80 57.6633 16.5813 -0.0580347 0.201822 -0.000706376 -0.000203121 16.0428
90 57.0478 18.589 -0.0650615 0.199667 -0.000698835 -0.000227715 18.0482
100 56.3624 20.5739 -0.0720085 0.197268 -0.000690439 -0.00025203 20.0535
110 55.6079 22.5335 -0.0788674 0.194628 -0.000681197 -0.000276036 22.0589
120 54.7853 24.4656 -0.0856297 0.191749 -0.00067112 -0.000299704 24.0642
130 53.8957 26.3677 -0.0922871 0.188635 -0.000660222 -0.000323005 26.0696
140 52.94 28.2376 -0.0988314 0.18529 -0.000648515 -0.00034591 28.0749
150 51.9194 30.0728 -0.105255 0.181718 -0.000636013 -0.000368392 30.0803
160 50.8353 31.8712 -0.111549 0.177924 -0.000622733 -0.000390422 32.0856
170 49.6889 33.6305 -0.117707 0.173911 -0.000608689 -0.000411974 34.091
180 48.4817 35.3487 -0.12372 0.169686 -0.0005939 -0.000433021 36.0963
190 47.215 37.0235 -0.129582 0.165253 -0.000578384 -0.000453538 38.1017
200 45.8905 38.6531 -0.135286 0.160617 -0.000562159 -0.0004735 40.107
210 44.5098 40.2352 -0.140823 0.155784 -0.000545246 -0.000492882 42.1124
220 43.0746 41.7681 -0.146188 0.150761 -0.000527664 -0.000511659 44.1178
230 41.5867 43.2498 -0.151374 0.145553 -0.000509437 -0.000529811 46.1231
240 40.0478 44.6786 -0.156375 0.140167 -0.000490585 -0.000547313 48.1285
250 38.4598 46.0526 -0.161184 0.134609 -0.000471133 -0.000564144 50.1338
260 36.8247 47.3702 -0.165796 0.128887 -0.000451103 -0.000580285 52.1392
270 35.1446 48.6298 -0.170204 0.123006 -0.000430521 -0.000595715 54.1445
280 33.4214 49.8298 -0.174404 0.116975 -0.000409412 -0.000610416 56.1499
290 31.6572 50.9688 -0.178391 0.1108 -0.000387801 -0.000624368 58.1552
300 29.8543 52.0454 -0.182159 0.10449 -0.000365715 -0.000637556 60.1606
310 28.0148 53.0582 -0.185704 0.0980517 -0.000343181 -0.000649963 62.1659
320 26.1409 54.006 -0.189021 0.0914933 -0.000320227 -0.000661574 64.1713
330 24.2351 54.8877 -0.192107 0.0848229 -0.00029688 -0.000672374 66.1766
340 22.2996 55.7021 -0.194957 0.0780486 -0.00027317 -0.000682351 68.182
350 20.3368 56.4484 -0.197569 0.0711787 -0.000249125 -0.000691492 70.1873
360 18.349 57.1254 -0.199939 0.0642216 -0.000224775 -0.000699786 72.1927
370 16.3388 57.7325 -0.202064 0.0571858 -0.00020015 -0.000707223 74.198
380 14.3086 58.2689 -0.203941 0.05008 -0.00017528 -0.000713794 76.2034
390 12.2608 58.7339 -0.205569 0.0429128 -0.000150195 -0.00071949 78.2087
400 10.198 59.127 -0.206944 0.0356931 -0.000124926 -0.000724306 80.2141
410 8.12276 59.4476 -0.208067 0.0284297 -9.95038e-05 -0.000728233 82.2194
420 6.03754 59.6955 -0.208934 0.0211314 -7.39599e-05 -0.000731269 84.2248
430 3.94493 59.8702 -0.209546 0.0138073 -4.83254e-05 -0.00073341 86.2301
440 1.84749 59.9715 -0.2099 0.00646621 -2.26317e-05 -0.000734651 88.2355
450 -0.25222 59.9995 -0.209998 -0.000882769 3.08969e-06 -0.000734994 -89.7591
460 -2.35162 59.9539 -0.209839 -0.00823066 2.88073e-05 -0.000734435 -87.7538
470 -4.44814 59.8349 -0.209422 -0.0155685 5.44897e-05 -0.000732977 -85.7484
480 -6.53921 59.6426 -0.208749 -0.0228872 8.01053e-05 -0.000730622 -83.7431
490 -8.62226 59.3772 -0.20782 -0.0301779 0.000105623 -0.000727371 -81.7377
500 -10.6948 59.0392 -0.206637 -0.0374317 0.000131011 -0.00072323 -79.7324
510 -12.7542 58.6288 -0.205201 -0.0446396 0.000156238 -0.000718202 -77.727
520 -14.7979 58.1465 -0.203513 -0.0517928 0.000181275 -0.000712295 -75.7217
530 -16.8236 57.5931 -0.201576 -0.0588826 0.000206089 -0.000705516 -73.7163
540 -18.8286 56.9691 -0.199392 -0.0659002 0.000230651 -0.000697872 -71.711
550 -20.8106 56.2754 -0.196964 -0.0728372 0.00025493 -0.000689373 -69.7056
560 -22.7671 55.5127 -0.194294 -0.0796849 0.000278897 -0.00068003 -67.7003
570 -24.6957 54.682 -0.191387 -0.086435 0.000302522 -0.000669855 -65.6949
580 -26.5941 53.7843 -0.188245 -0.0930792 0.000325777 -0.000658858 -63.6896
590 -28.4598 52.8208 -0.184873 -0.0996095 0.000348633 -0.000647055 -61.6842
600 -30.2908 51.7926 -0.181274 -0.106018 0.000371062 -0.000634459 -59.6789
610 -32.0846 50.7009 -0.177453 -0.112296 0.000393036 -0.000621086 -57.6735
620 -33.8391 49.5471 -0.173415 -0.118437 0.000414529 -0.000606952 -55.6682
630 -35.5522 48.3326 -0.169164 -0.124433 0.000435514 -0.000592075 -53.6628
