t x y vx vy ax ay theta_deg
0 1e-10 0 -0 6.3837e-07 -0.00407516 -0 0
1e-05 9.97963e-11 6.37937e-12 -4.0724e-08 6.3707e-07 -0.00406686 -0.000259969 3.65759
2e-05 9.91861e-11 1.27327e-11 -8.1282e-08 6.33174e-07 -0.00404199 -0.00051888 7.31518
3e-05 9.81718e-11 1.90342e-11 -1.21509e-07 6.26699e-07 -0.00400066 -0.000775677 10.9728
4e-05 9.67575e-11 2.52582e-11 -1.61241e-07 6.17671e-07 -0.00394303 -0.00102931 14.6304
5e-05 9.49491e-11 3.13793e-11 -2.00316e-07 6.06127e-07 -0.00386933 -0.00127876 18.288
6e-05 9.27539e-11 3.73725e-11 -2.38575e-07 5.92113e-07 -0.00377987 -0.00152299 21.9455
7e-05 9.01809e-11 4.32135e-11 -2.75862e-07 5.75688e-07 -0.00367502 -0.00176102 25.6031
8e-05 8.72405e-11 4.88785e-11 -3.12025e-07 5.56917e-07 -0.00355519 -0.00199188 29.2607
9e-05 8.39446e-11 5.43443e-11 -3.46918e-07 5.35877e-07 -0.00342088 -0.00221462 32.9183
0.0001 8.03068e-11 5.95887e-11 -3.80397e-07 5.12655e-07 -0.00327263 -0.00242834 36.5759
0.00011 7.63419e-11 6.45904e-11 -4.12326e-07 4.87343e-07 -0.00311105 -0.00263216 40.2335
0.00012 7.20659e-11 6.9329e-11 -4.42575e-07 4.60047e-07 -0.0029368 -0.00282527 43.8911
0.00013 6.74964e-11 7.37851e-11 -4.71022e-07 4.30876e-07 -0.00275059 -0.00300686 47.5487
0.00014 6.26519e-11 7.79407e-11 -4.9755e-07 3.99951e-07 -0.00255316 -0.00317621 51.2063
0.00015 5.75521e-11 8.17787e-11 -5.22051e-07 3.67395e-07 -0.00234534 -0.00333261 54.8639
0.00016 5.22179e-11 8.52836e-11 -5.44425e-07 3.33344e-07 -0.00212797 -0.00347544 58.5215
0.00017 4.6671e-11 8.8441e-11 -5.64581e-07 2.97934e-07 -0.00190192 -0.00360412 62.179
0.00018 4.0934e-11 9.12382e-11 -5.82437e-07 2.6131e-07 -0.00166813 -0.00371811 65.8366
0.00019 3.50302e-11 9.36637e-11 -5.97921e-07 2.23622e-07 -0.00142754 -0.00381695 69.4942
0.0002 2.89837e-11 9.57076e-11 -6.10969e-07 1.85023e-07 -0.00118113 -0.00390024 73.1518
0.00021 2.28191e-11 9.73616e-11 -6.21527e-07 1.4567e-07 -0.000929916 -0.00396764 76.8094
0.00022 1.65616e-11 9.8619e-11 -6.29554e-07 1.05724e-07 -0.000674911 -0.00401889 80.467
0.00023 1.02366e-11 9.94747e-11 -6.35017e-07 6.53472e-08 -0.000417157 -0.00405376 84.1246
0.00024 3.86987e-12 9.99251e-11 -6.37892e-07 2.47041e-08 -0.000157703 -0.00407211 87.7822
0.00025 -2.5126e-12 9.99684e-11 -6.38168e-07 -1.60397e-08 0.000102393 -0.00407388 -88.5602
0.00026 -8.88484e-12 9.96045e-11 -6.35845e-07 -5.67181e-08 0.000362072 -0.00405905 -84.9026
0.00027 -1.52209e-11 9.88348e-11 -6.30932e-07 -9.71655e-08 0.000620275 -0.00402768 -81.2451
0.00028 -2.14949e-11 9.76625e-11 -6.23448e-07 -1.37217e-07 0.000875952 -0.00397991 -77.5875
0.00029 -2.76814e-11 9.60924e-11 -6.13425e-07 -1.7671e-07 0.00112806 -0.00391592 -73.9299
0.0003 -3.37551e-11 9.41307e-11 -6.00902e-07 -2.15482e-07 0.00137557 -0.00383598 -70.2723
0.00031 -3.96913e-11 9.17856e-11 -5.85932e-07 -2.53377e-07 0.00161748 -0.00374041 -66.6147
0.00032 -4.54658e-11 8.90666e-11 -5.68575e-07 -2.9024e-07 0.0018528 -0.00362961 -62.9571
