t x y vx vy ax ay theta_deg
0 0.231649 -0.713329 -0 -0 -2.92973 -0.951411 17.9909
0.01 0.231503 -0.713377 -0.0292929 -0.00950602 -2.9284 -0.948985 17.9791
0.02 0.231063 -0.713519 -0.0585591 -0.0189636 -2.9244 -0.941717 17.9438
0.03 0.230332 -0.713756 -0.087772 -0.0283243 -2.91773 -0.929644 17.8851
0.04 0.229308 -0.714085 -0.116905 -0.0375406 -2.90834 -0.91282 17.8029
0.05 0.227994 -0.714506 -0.14593 -0.0465652 -2.89622 -0.891325 17.6975
0.06 0.22639 -0.715016 -0.17482 -0.0553519 -2.88132 -0.865262 17.569
0.07 0.224498 -0.715612 -0.203547 -0.0638556 -2.86358 -0.834754 17.4174
0.08 0.22232 -0.716292 -0.232082 -0.0720326 -2.84296 -0.799946 17.2431
0.09 0.219857 -0.717051 -0.260396 -0.0798407 -2.81937 -0.761004 17.0462
0.1 0.217113 -0.717887 -0.288459 -0.0872395 -2.79277 -0.718115 16.827
0.11 0.214089 -0.718795 -0.316241 -0.0941906 -2.76306 -0.671487 16.5859
0.12 0.210789 -0.719769 -0.34371 -0.100658 -2.73019 -0.621345 16.323
0.13 0.207216 -0.720806 -0.370834 -0.106607 -2.69406 -0.567933 16.0388
0.14 0.203373 -0.7219 -0.39758 -0.112006 -2.65461 -0.511514 15.7336
0.15 0.199266 -0.723044 -0.423915 -0.116828 -2.61176 -0.452366 15.4078
0.16 0.194897 -0.724234 -0.449804 -0.121045 -2.56543 -0.390784 15.0619
0.17 0.190271 -0.725463 -0.475212 -0.124636 -2.51557 -0.327074 14.6963
0.18 0.185394 -0.726725 -0.500103 -0.127581 -2.46211 -0.261558 14.3114
0.19 0.180271 -0.728013 -0.524442 -0.129863 -2.405 -0.194569 13.9079
0.2 0.174907 -0.72932 -0.548191 -0.131468 -2.3442 -0.126447 13.4861
0.21 0.169309 -0.73064 -0.571313 -0.132389 -2.27968 -0.0575449 13.0467
0.22 0.163483 -0.731965 -0.593772 -0.132618 -2.21141 0.0117815 12.5903
0.23 0.157436 -0.73329 -0.615529 -0.132153 -2.1394 0.08117 12.1174
0.24 0.151175 -0.734606 -0.636547 -0.130996 -2.06366 0.150256 11.6286
0.25 0.144708 -0.735907 -0.65679 -0.12915 -1.9842 0.218674 11.1246
0.26 0.138042 -0.737187 -0.676219 -0.126626 -1.90107 0.286058 10.6061
0.27 0.131186 -0.738438 -0.694799 -0.123434 -1.81434 0.352048 10.0737
0.28 0.124149 -0.739653 -0.712494 -0.11959 -1.72407 0.416287 9.52814
0.29 0.116939 -0.740827 -0.729269 -0.115115 -1.63037 0.478425 8.97011
0.3 0.109567 -0.741954 -0.74509 -0.11003 -1.53335 0.538123 8.40035
0.31 0.102041 -0.743026 -0.759925 -0.104362 -1.43313 0.595053 7.8196
0.32 0.0943717 -0.744039 -0.773743 -0.0981393 -1.32988 0.648899 7.22863
0.33 0.0865695 -0.744987 -0.786513 -0.091395 -1.22376 0.699362 6.6282
0.34 0.078645 -0.745865 -0.798209 -0.0841642 -1.11496 0.746161 6.0191
0.35 0.070609 -0.746669 -0.808804 -0.0764849 -1.00368 0.789032 5.40213
0.36 0.0624727 -0.747394 -0.818275 -0.0683975 -0.890132 0.827735 4.7781
0.37 0.0542473 -0.748036 -0.8266 -0.0599448 -0.774556 0.862049 4.14781
0.38 0.0459446 -0.748591 -0.83376 -0.0511718 -0.657196 0.891782 3.5121
