t x y vx vy ax ay theta_deg
0 1.1 1 -0 0.1 -0.1 -0 0
0.05 1.09988 1.005 -0.00499792 0.099875 -0.099875 -0.00499792 2.86479
0.1 1.0995 1.00998 -0.00998334 0.0995004 -0.0995004 -0.00998334 5.72958
0.15 1.09888 1.01494 -0.0149438 0.0988771 -0.0988771 -0.0149438 8.59437
0.2 1.09801 1.01987 -0.0198669 0.0980067 -0.0980067 -0.0198669 11.4592
0.25 1.09689 1.02474 -0.0247404 0.0968912 -0.0968912 -0.0247404 14.3239
0.3 1.09553 1.02955 -0.029552 0.0955336 -0.0955336 -0.029552 17.1887
0.35 1.09394 1.03429 -0.0342898 0.0939373 -0.0939373 -0.0342898 20.0535
0.4 1.09211 1.03894 -0.0389418 0.0921061 -0.0921061 -0.0389418 22.9183
0.45 1.09004 1.0435 -0.0434966 0.0900447 -0.0900447 -0.0434966 25.7831
0.5 1.08776 1.04794 -0.0479426 0.0877583 -0.0877583 -0.0479426 28.6479
0.55 1.08525 1.05227 -0.0522687 0.0852525 -0.0852525 -0.0522687 31.5127
0.6 1.08253 1.05646 -0.0564642 0.0825336 -0.0825336 -0.0564642 34.3775
0.65 1.07961 1.06052 -0.0605186 0.0796084 -0.0796084 -0.0605186 37.2423
0.7 1.07648 1.06442 -0.0644218 0.0764842 -0.0764842 -0.0644218 40.107
0.75 1.07317 1.06816 -0.0681639 0.0731689 -0.0731689 -0.0681639 42.9718
0.8 1.06967 1.07174 -0.0717356 0.0696707 -0.0696707 -0.0717356 45.8366
0.85 1.066 1.07513 -0.075128 0.0659983 -0.0659983 -0.075128 48.7014
0.9 1.06216 1.07833 -0.0783327 0.062161 -0.062161 -0.0783327 51.5662
0.95 1.05817 1.08134 -0.0813416 0.0581683 -0.0581683 -0.0813416 54.431
1 1.05403 1.08415 -0.0841471 0.0540302 -0.0540302 -0.0841471 57.2958
1.05 1.04976 1.08674 -0.0867423 0.0497571 -0.0497571 -0.0867423 60.1606
1.1 1.04536 1.08912 -0.0891207 0.0453596 -0.0453596 -0.0891207 63.0254
1.15 1.04085 1.09128 -0.0912764 0.0408487 -0.0408487 -0.0912764 65.8901
1.2 1.03624 1.0932 -0.0932039 0.0362358 -0.0362358 -0.0932039 68.7549
1.25 1.03153 1.0949 -0.0948985 0.0315322 -0.0315322 -0.0948985 71.6197
1.3 1.02675 1.09636 -0.0963558 0.0267499 -0.0267499 -0.0963558 74.4845
1.35 1.0219 1.09757 -0.0975723 0.0219007 -0.0219007 -0.0975723 77.3493
1.4 1.017 1.09854 -0.098545 0.0169967 -0.0169967 -0.098545 80.2141
1.45 1.01205 1.09927 -0.0992713 0.0120503 -0.0120503 -0.0992713 83.0789
1.5 1.00707 1.09975 -0.0997495 0.00707372 -0.00707372 -0.0997495 85.9437
1.55 1.00208 1.09998 -0.0999784 0.00207948 -0.00207948 -0.0999784 88.8085
1.6 0.99708 1.09996 -0.0999574 -0.00291995 0.00291995 -0.0999574 -88.3268
1.65 0.992088 1.09969 -0.0996865 -0.00791209 0.00791209 -0.0996865 -85.462
1.7 0.987116 1.09917 -0.0991665 -0.0128844 0.0128844 -0.0991665 -82.5972
1.75 0.982175 1.0984 -0.0983986 -0.0178246 0.0178246 -0.0983986 -79.7324
1.8 0.97728 1.09738 -0.0973848 -0.0227202 0.0227202 -0.0973848 -76.8676
1.85 0.972441 1.09613 -0.0961275 -0.027559 0.027559 -0.0961275 -74.0028
1.9 0.967671 1.09463 -0.09463 -0.032329 0.032329 -0.09463 -71.138
1.95 0.962982 1.0929 -0.092896 -0.0370181 0.0370181 -0.092896 -68.2732
2 0.958385 1.09093 -0.0909297 -0.0416147 0.0416147 -0.0909297 -65.4084
2.05 0.953893 1.08874 -0.0887362 -0.0461073 0.0461073 -0.0887362 -62.5437
2.1 0.949515 1.08632 -0.0863209 -0.0504846 0.0504846 -0.0863209 -59.6789
2.15 0.945264 1.08369 -0.0836899 -0.0547358 0.0547358 -0.0836899 -56.8141
2.2 0.94115 1.08085 -0.0808496 -0.0588501 0.0588501 -0.0808496 -53.9493
2.25 0.937183 1.07781 -0.0778073 -0.0628174 0.0628174 -0.0778073 -51.0845
2.3 0.933372 1.07457 -0.0745705 -0.0666276 0.0666276 -0.0745705 -48.2197
2.35 0.929729 1.07115 -0.0711473 -0.0702713 0.0702713 -0.0711473 -45.3549
2.4 0.926261 1.06755 -0.0675463 -0.0737394 0.0737394 -0.0675463 -42.4901
2.45 0.922977 1.06378 -0.0637765 -0.0770231 0.0770231 -0.0637765 -39.6253
2.5 0.919886 1.05985 -0.0598472 -0.0801144 0.0801144 -0.0598472 -36.7606
2.55 0.916995 1.05577 -0.0557684 -0.0830054 0.0830054 -0.0557684 -33.8958
2.6 0.914311 1.05155 -0.0515501 -0.0856889 0.0856889 -0.0515501 -31.031
2.65 0.911842 1.0472 -0.0472031 -0.0881582 0.0881582 -0.0472031 -28.1662
2.7 0.909593 1.04274 -0.042738 -0.0904072 0.0904072 -0.042738 -25.3014
2.75 0.90757 1.03817 -0.0381661 -0.0924302 0.0924302 -0.0381661 -22.4366
2.8 0.905778 1.0335 -0.0334988 -0.0942222 0.0942222 -0.0334988 -19.5718
2.85 0.904221 1.02875 -0.0287478 -0.0957787 0.0957787 -0.0287478 -16.707
2.9 0.902904 1.02392 -0.0239249 -0.0970958 0.0970958 -0.0239249 -13.8422
2.95 0.90183 1.01904 -0.0190423 -0.0981702 0.0981702 -0.0190423 -10.9775
3 0.901001 1.01411 -0.014112 -0.0989992 0.0989992 -0.014112 -8.11266
3.05 0.900419 1.00915 -0.00914646 -0.0995808 0.0995808 -0.00914646 -5.24787
